Código,Título,Descripción,Fuente
institutional,Institucional,"Esta financiación fue proporcionada por inversores institucionales: organizaciones que reúnen dinero para comprar valores, bienes inmuebles y otros activos de inversión u originar préstamos. Los inversores institucionales incluyen bancos, compañías de seguros, pensiones, fondos de cobertura, REIT, asesores de inversiones, dotaciones y fondos mutuos.",https://en.wikipedia.org/w/index.php?title=Institutional_investor&oldid=764994591
commercial,Comercial,Este financiamiento fue proporcionado por particulares que no entran dentro de la definición de inversor institucional.,
bilateral,Bilateral,"Este financiamiento fue proporcionado por una institución bilateral: una agencia de un gobierno específico, usualmente una agencia de desarrollo o agencia de crédito a la exportación con un mandato para apoyar a las empresas nacionales en la búsqueda de inversiones en el extranjero.",https://ppi.worldbank.org/methodology/glossary
multilateral,Multilateral,"Este financiamiento fue proporcionado por una institución multilateral: un organismo creado por un grupo de países para proporcionar financiamiento y apoyo profesional, principalmente con fines de desarrollo.",https://en.wikipedia.org/w/index.php?title=International_financial_institutions&oldid=757498881
vendor,Proveedor,Esta financiación se proporcionó a través de una línea de crédito proporcionada por un proveedor.,
other,Otro,Este financiamiento se proporcionó a través de alguna otra fuente.,
