Código,Título,Descripción
micro,Micro,Esta es una micro empresa de acuerdo a las definiciones utilizadas por la entidad procuradora o compradora.
sme,Pequeña o mediana empresa,Esta es una Pequeña o Mediana Empresa (SME) de acuerdo a las definiciones utilizadas por la entidad procuradora o compradora.
small,Pequeña,Esta es una pequeña empresa de acuerdo a las definiciones utilizadas por la entidad procuradora o compradora.
medium,Mediana,Esta es una mediana empresa de acuerdo a las definiciones utilizadas por la entidad procuradora o compradora.
large,Grande,Esta es una gran empresa de acuerdo a las definiciones utilizadas por la entidad procuradora o compradora.
selfEmployed,Trabajador por cuenta propia,"Se trata de una persona física autónoma, también conocida como comerciante individual."
