Código,Título,Descripción
invited,Invitado,A bid or expression of interest has been invited from the tenderer(s).
pending,Pendiente,A bid or expression of interest has been submitted but not yet evaluated.
valid,Válida,The submitted bid or expression of interest met the qualification criteria.
disqualified,Descalificada,The submitted bid or expression of interest did not meet the qualification criteria.
withdrawn,Retirada,The submitted bid or expression of interest was withdrawn by the tenderer(s).
