Code,Title,Description
fulfillment,Fulfillment,Guarantees fulfillment in time with the conditions stipulated in the contract.
prepaid,Prepaid,Guarantee by which the supplier requests a prepayment from the procuring entity.
latentDefects,Latent defects,Guarantee on the possible defects that a good may have that are not discoverable through general inspection at the time of delivery.
confidentiality,Confidentiality,Guarantee that commits the supplier to safeguard the confidential information that has been granted.
quality,Quality,Commitment from the supplier to deliver the goods and services in the quality specified in the contract.
