Code,Title,Description,Source,Category
TED_PT_AWARD_CONTRACT_WITHOUT_CALL,European Union direct award justification (TED schema),Justification for using a procedure which allows awarding contracts directly without the requirement of publishing a call for competition in the Official Journal of the European Union. This scheme's codes match those in the TED schema.,https://ted.europa.eu/documents/d/ted/en_f15,procurementMethodRationaleClassifications
eu-direct-award-justification,European Union direct award justification (eForms),Justification for using a procedure which allows awarding contracts directly without the requirement of publishing a call for competition in the Official Journal of the European Union. This scheme's codes match those in eForms.,https://op.europa.eu/en/web/eu-vocabularies/concept-scheme/-/resource?uri=http://publications.europa.eu/resource/authority/direct-award-justification,procurementMethodRationaleClassifications
