Code,Title,Description,Source,Category
eu-change-corrig-justification,EU change corrigendum justification,The justification of corrections applied to a notice within the context of public procurement according to the legislation of the European Parliament.,http://publications.europa.eu/resource/dataset/change-corrig-justification,amendmentRationaleClassifications
eu-modification-justification,EU modification justification,The main reasons for modifying a contract within the domain of public procurement according to the legislation of the European Parliament.,http://publications.europa.eu/resource/dataset/modification-justification,amendmentRationaleClassifications
