Código,Título,Descripción
fulfillment,Cumplimiento,Garantiza el cumplimiento en tiempo de las condiciones estipuladas en el contrato.
prepaid,Pagado por adelantado,Garantía por la cual el proveedor solicita un pre-pago a la entidad contratante.
latentDefects,Defectos ocultos,Garantía sobre los posibles defectos que pueda tener un bien que no sean detectables mediante inspección general en el momento de la entrega.
confidentiality,Confidencialidad,Garantía que compromete al proveedor a resguardar la información confidencial que le ha sido otorgada.
quality,Calidad,Compromiso del proveedor de entregar los bienes y servicios en la calidad especificada en el contrato.
