Código,Título,Descripción
bail,Fianza,"Una fianza es una promesa escrita mediante la cual una persona acuerda con el acreedor pagar por el deudor, si él no lo hace."
depositSlip,Comprobante de depósito,La boleta de depósito es un instrumento que se utiliza para establecer garantías en efectivo a disposición de las autoridades judiciales o administrativas.
letterOfCredit,Carta de crédito,"Las cartas de crédito se utilizan para garantizar que un proveedor recibirá una determinada cantidad de dinero dentro de un plazo determinado, proporcionando términos estrictos."
suretyBond,Fianza de garantía,Una fianza es un instrumento a través del cual el fiador está obligado a compensar al obligante por los daños sufridos en caso de que el principal no cumpla con los términos del contrato.
check,Cheque,Un cheque certificado como garantía.
